position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
5,Campo Bandiera e Moro,4.5,972.0,Punto di riferimento storico,"Calle de la Pietà, 3723, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJ4UxwOyaufkcR-b4hbeInEzs,"{'latitude': 45.4347062, 'longitude': 12.346704599999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwisgT7SEFt9WFYQvNnTBFVA0RPnhqTfeEL--JbZdzaheNfm3MfHbBIVjRENLaPvekVlxYr4VBfTBB0tRzeOqWlNbotPZ76BhTgFsqv8WSYpnwfUvZYbGhBda2BrWLFNlPU9V7I=w122-h92-k-no,
9,Campo Santi Giovanni e Paolo,4.7,717.0,Punto di riferimento storico,"Campo Santi Giovanni e Paolo, 30122, VE, Italia",Aperto 24 ore su 24,ChIJQVGVKtmxfkcRUi192OwsePU,"{'latitude': 45.4392207, 'longitude': 12.341271899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBb-XNaghFi8bW4gAKVFZov9HBsI4CKcsMlkA9aAW8OPBMtxNTVX8xNVrVBhPZkKsEicMqqySLiXoLf4QmcqxyovoV0-vvRtMLi9gmcOKiP5vRBhcf_xf7vB-fqhwBVW_U3cuPAg=w137-h92-k-no,
10,Campo San Pietro,4.7,121.0,Giardino,"30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJsaKihzmufkcRrk3bQDfBnpE,"{'latitude': 45.4347133, 'longitude': 12.359084399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBSK4-o6NbXOhcb82xC8w8pnvo8x44TTp3eTaiUYN1fo8EYVkv7Vf53qtGXodBtNzuPDPjU9qWSNknmLvNKVa47eyRFgaJwoR5GC2AIsSr_RFE-cOzIwaj4ZzpnhcTi8Lr7tJ6=w80-h173-k-no,
18,Campo Stringari,4.7,11.0,Giardino,"Castello, 30132, VE, Italia",Aperto 24 ore su 24,ChIJu_Zp1jWufkcRwPSRrP6fvZE,"{'latitude': 45.4274394, 'longitude': 12.3614514}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBUUtzv7QMvWqKVx1mubGzXMQmIStcF6Tw5AxP6EBS737EegGmcZgT9xdAJO0eHLNizYMdfPN5ZE9y0jq1IB_SLFD3hiLxqgtvk66B0DCsJ7lD-EjXGm22jzEtaaSucbMJ4IxmPg=w122-h92-k-no,
5,Campo Santi Filippo e Giacomo,5.0,16.0,Punto d'interesse culturale,"4272/4295, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJPRX5fU6xfkcR1ATh-Kl0S28,"{'latitude': 45.4350984, 'longitude': 12.3415187}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4NdNLtUeaNTaXVCaFaxqjx707ewA1OQllbBtuKeEYmdeMSmYvIfhAlFOoLER9OVHJaV9LukytcLNLbdHdlnrzPDwDabyGzJHa6Wdgt5LR1r9l-WGF6JehQnyGg-uA4T4rakJ2=w80-h106-k-no,
6,Campo Santa Maria Formosa e majestic zanipolo,4.6,82.0,Punto di riferimento storico,"Campiello Santa Maria Formosa, 30122 Venezia VE, Italia",Ora aperto,ChIJ98eTLN-xfkcRSiEB8vEDJpY,"{'latitude': 45.4373626, 'longitude': 12.3409909}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGSsyrVV3hVKeEuw-yPu_-Ial1TRon828ERzgw0gwVzMvKV3af_rB8MWPPvOuJzpY5zbDsv7gnkY6GWCceGEovhCwpLNg68oJmjQK3Sv8KSaynF1KLeenWA4jLJRkjYre4Pig9wg=w122-h92-k-no,
11,Campo San Lorenzo,5.0,2.0,Punto di riferimento storico,"Campo S. Lorenzo, 5063, 30122 Venezia VE, Italia",,ChIJU4ZtNQCvfkcRSg8zoMD1P2s,"{'latitude': 45.4371509, 'longitude': 12.3447164}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBkCYkkn58wAGdQHS5le89kmQT6iV7jsBnw6gWa0T3a8ySdK3Lmhdv9RMRFh0EaEQsUCks-UWMcqvv4UuLMG_6K7FyxuyD2_-1WSMY9Ak7clixmOsaUV1ZOrAvMPZbguAHei_H93399JSQ=w80-h142-k-no,
18,Campo San Lorenzo,5.0,1.0,Appartamenti,"Castello, 5067, 30122 Venezia VE, Italia",,ChIJe4h9PACvfkcRpRjhLARFK2w,"{'latitude': 45.437072, 'longitude': 12.345155199999999}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m1yrjtn6RL0VKl-xxpJHig&cb_client=search.gws-prod.gps&w=80&h=92&yaw=149.24474&pitch=0&thumbfov=100,
11,Campo de la Fava,4.6,13.0,Punto d'interesse culturale,"Calle Seconda de la Fava, 5526, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJoaGrlQyxfkcR6y3UBanHYSg,"{'latitude': 45.4369862, 'longitude': 12.337787899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8u8kmFaO2qOKMPrj4X1oLO_ONhezbFx8f2JJ4oQNeGm4X34pbn8hIEMS13_lj7fE5vjeKGhOkQYbiZnX3bGONmuQcSiUACV5u7ljoyzMOoBtzk1BzgDINWdM378tTxMCiFM3TcA=w122-h92-k-no,
19,Patronato di San Pietro di Castello,4.6,5.0,Campo da calcetto,"Campo San Pietro, S. Pietro di Castello, 71a, 30122 Venezia VE, Italia",Chiude tra poco ⋅ 19:30 ⋅ Apre ven alle ore 16:30,ChIJlXSaSjqufkcRAw6C56WRTX8,"{'latitude': 45.4348119, 'longitude': 12.3595127}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLt8rGUr1MGQm295KtTm1XqWOQ4xd6C3cw1NSk7_q2PXSBmeMD8a29eOcPoXa0jqfgfFk2fhc7eCEdrhNVVHti0PBgdF2zNwpeVQQtDtdc4Rh7HLyFG5yiGbvwj-BOu5cy0Qo=w122-h92-k-no,
2,Campo di pattinaggio,4.3,3.0,Pista di pattinaggio a rotelle,"Calle Franco Passarella, 3, 30132 Venezia VE, Italia",Aperto 24 ore su 24,ChIJQ9kuQHavfkcR8d5i3phhIyY,"{'latitude': 45.4260819, 'longitude': 12.360729899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy91PqO03RnY3PtynrlbTZhwYq03t9TL0i8l6c7tx7QY7uExShhDRH1Irrz0Buq02ZmO_JUXggUWdvlkXWjNjb1LAtxPfFGbE9EBE4GVTS7Po2exBJ4FdkVs0YabAXBWitPGKQ8=w122-h92-k-no,
3,Centro Sportivo Reyer,4.4,34.0,Complesso sportivo,"Cannaregio, 30122 Venezia VE, Italia",Chiude tra poco ⋅ 20 ⋅ Apre ven alle ore 08:30,ChIJJUw8yOuxfkcRJHtALQVckS8,"{'latitude': 45.4484126, 'longitude': 12.328215799999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw15rnEb5GQ_gUeDJ7Dfj3NNksHHID7sPuwva-V8-eyy-18OweSQSSrY0F_VVcq977KeUNxpv97tWpyefe3gSZdhUsqpf8SOheY4zid17mdNIzTa38KQy7uhk2aDPU0vG2BJlE2Bg=w122-h92-k-no,
9,Campo San Provolo (vera da Pozzo),3.8,4.0,Punto di riferimento storico,"Campo S. Provolo, 4703, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJwdKBxLWxfkcRVCbF3qFeicA,"{'latitude': 45.434939799999995, 'longitude': 12.3426609}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxAuo0Ty8j1RGxGAP-bLnFhEnYWmNPLPfOkqT4ZLToozkaGehgiwIhIWLrIXxoHEzpOtkKCCNs1Pu4GCksxZHNqpHT1xwMX3JKCUov6XBQWTLOrSzpjw4_k9A3amPKYPZPDCkMA1g=w80-h106-k-no,
10,Stadio Pier Luigi Penzo,4.0,1747.0,Stadio,"Fondamenta Sant'Elena, 5, 30132 Venezia VE, Italia",,ChIJeVk9AzaufkcRF7mEay-tMX0,"{'latitude': 45.427780399999996, 'longitude': 12.3640025}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy8NbMbHsVtaD7EpyQXWQqF1Oxft_5_QWPyTWFKl7y9p7R-kbFXLvQhSDFgMkDwGOX_RotC9vEYgHeDmEbYFr4xWCD-fYDv_r-Mv8eTpO0q5nBG6A4Gun_znC-5X64eNMM7epdSbA=w80-h106-k-no,
2,Giardini della Marinaressa,4.6,1956.0,Giardino,"Riva dei Sette Martiri, 30122 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 20:30,ChIJAy5F1S-ufkcReQqjg_LgAwo,"{'latitude': 45.4314603, 'longitude': 12.352596799999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqkeG_v7QNrJEw3v-JAYV8tCX7uEar8uqbBdef6MQebwNcHRaDwVOXgKc74CeL-x6AvNzPMa3Pmxpkz0O33d4pt2zjmlW47-59xGzeCwY1WauRlPQ0fmJXvm_9uj6gyBIF_Bdz=w189-h92-k-no,
4,Giardini Napoleonici,4.4,51.0,Giardino,"Viale Trento, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJcZdwNwyvfkcRp1Vr837WVNM,"{'latitude': 45.430082999999996, 'longitude': 12.3553239}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2NjuMDlM39ala-keSZtJCkyHRJyObGB2AQ267ViTaYdrbQnA8wVnmRK-2wgSOk-Ngkv2g2z6rSpyCzzlmwor4I9B64GZ5ZYgQZthGLkJXTpHj2Utdtq2a-NbOqBWuJvGGaAV4=w163-h92-k-no,
5,Giardini della Biennale,4.5,12251.0,Giardino,"Calle Giazzo, 30122 Venezia VE, Italia",Chiuso ⋅ Apre ven alle ore 10,ChIJqzZkRzGufkcRiabs3CYIiBk,"{'latitude': 45.4287722, 'longitude': 12.3580806}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzW9MVw0Pv86ldw4kdZxZZn6h-P3BjABRqgv3VxJgJ8a5XEEF5ps5xfZxaLWk0P200GT-W0xR2YbunM_ibwc-iuCklLBdeNaXVdUMghyzV-rx4A-xX6_rUCDV5F5kcktPyxR26V=w122-h92-k-no,
12,Parco delle Rimembranze,4.8,4.0,Parco comunale,"Viale Vittorio Veneto, 5, 30132 Venezia VE, Italia",,ChIJQwRPGwCvfkcRbRtSHL0vMcw,"{'latitude': 45.4269404, 'longitude': 12.3591103}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1XbI6_-QNpc2-C1Luh6TSj_QemXTIVTeCK1OQyHnGOopI5NN09nBC03ITG0oPE8iIi0m-H8UpfZmENYq3mh6eEI0EGmjex9cy6-d_rKdzBkFlZfp8xWJyRc4qePllkI7TSTQWqoh8Y2Bu=w122-h92-k-no,
7,Giardino Ordine di Malta,5.0,2.0,Giardino,"2, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJ-Z8q-iaufkcRSHPIACQrc5w,"{'latitude': 45.43658, 'longitude': 12.3469901}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzyw1_FnD1wwyp1Nh8gik-LimiRKJc4t9DucSoAzsBIXu53csc1CnMxEgpScDQyD2ckSmTa8OCP1jHxeKarkODebSULDwFYHRWIBYZey1OEAliOPz9i8CJDonLBK43JwQZ7LtzhSw=w138-h92-k-no,
14,Campiello della malvasia,4.3,4.0,Parco statale,"Fondamenta Arsenale, 2177, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJObHzKfOvfkcRgrUZKITIrbw,"{'latitude': 45.432837199999994, 'longitude': 12.349883499999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZZ5QiyEFoh3-DKM6DzYu_QIRPDLpHHzHC-wZiValfo99fqgSianrspSxC5N1hWEbfJ7AXZUpdElJ38gJOgOZPdUeZlOgQZobYBve-bbQYq8LP4dLdkrVGx-YEGEH4etS-5_N8=w122-h92-k-no,
5,casa del lugo,5.0,1.0,Area per passeggiate,"Riva degli Schiavoni, 3560, 30122 Venezia VE, Italia",,ChIJEU9KBgCvfkcRYKP7LaIyOrU,"{'latitude': 45.433711599999995, 'longitude': 12.3467086}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzRSj_iLc3Qpw7M-ALbmJnM4XCKqUNiGoCHNjVmcX63BN8iSts82XyB4dXnN_qcjkD53yNok_WN8jh8gF1f6e0fnaxE4eCuQC1E9N0BmJstDc4_LdTCU4EuSgf5VgwlbR6L7o0AjapsLKcN=w163-h92-k-no,
